Prototype1
node,83
edge,234
catalog,41

id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
init,50.6667,219.556,219.556,253.333,185.778,33.7778,67.5556,135.111,101.333,168.889,67.5556,84.4444,219.556,152,202.667,219.556,67.5555,67.5555,67.5555,67.5555,168.889,67.5556,101.333,67.5556,168.889,33.7778,118.222,236.444,16.8889,67.5556,50.6667,270.222,67.5556,67.5556,67.5556,185.778,84.4445,50.6667,50.6667,101.333,33.7778,135.111,219.556,135.111,270.222,67.5555,50.6667,135.111,84.4444,101.333,168.889,50.6667,135.111,16.8889,67.5556,33.7778,67.5555,67.5555,67.5555,50.6667,50.6667,100,100,100,100,100,100,100,33.7778,50.6667,67.5556,50.6667,84.4444,168.889,16.8889,33.7778,33.7778,84.4444,84.4444,50.6667,33.7778,50.6667,50.6667
result,47.0637,203.943,203.943,235.318,172.567,31.3758,62.7516,125.503,94.1274,156.879,62.7516,78.4395,203.943,141.191,188.255,203.943,62.7515,62.7515,62.7515,62.7515,156.879,62.7516,94.1274,62.7516,156.879,31.3758,109.815,219.631,15.6879,62.7516,47.0637,251.006,62.7516,62.7516,62.7516,172.567,78.4395,47.0637,47.0637,94.1275,31.3758,125.503,203.943,125.503,-270.222,62.7516,47.0637,125.503,78.4395,94.1274,156.879,47.0637,125.503,15.6879,62.7516,31.3758,62.7516,62.7516,62.7516,47.0637,47.0637,100,100,100,100,100,100,100,31.3758,47.0637,62.7516,47.0637,78.4395,156.879,15.6879,31.3758,31.3758,78.4395,78.4395,47.0637,31.3758,47.0637,47.0637

input,45
time(msec),7.711
